tweet_id,favorites,retweet_count
892420643555336193,35954,7646
892177421306343426,31038,5650
891815181378084864,23356,3748
891689557279858688,39254,7813
891327558926688256,37496,8407
891087950875897856,18896,2822
890971913173991426,10978,1838
890729181411237888,60600,17061
890609185150312448,25995,3883
890240255349198849,29710,6641
890006608113172480,28592,6625
889880896479866881,26011,4505
889665388333682689,44765,9039
889638837579907072,25199,4052
889531135344209921,14125,2045
889278841981685760,23479,4825
888917238123831296,27129,4065
888804989199671297,23830,3832
888554962724278272,18389,3144
888078434458587136,20302,3138
887705289381826560,28193,4883
887517139158093824,43237,10658
887473957103951883,64073,16281
887343217045368832,31376,9481
887101392804085760,28561,5401
886983233522544640,32535,6937
886736880519319552,11172,2910
886680336477933568,20954,4052
886366144734445568,19704,2868
886267009285017600,111,4
886258384151887873,26089,5715
886054160059072513,0,100
885984800019947520,30376,6080
885528943205470208,33486,5782
885518971528720385,19088,3381
885311592912609280,0,16751
885167619883638784,20398,3955
884925521741709313,71822,16359
884876753390489601,25941,5044
884562892145688576,22662,4254
884441805382717440,25271,5153
884247878851493888,67629,18381
884162670584377345,19021,2711
883838122936631299,20377,3104
883482846933004288,42714,8940
883360690899218434,21134,3352
883117836046086144,34603,6016
882992080364220416,22276,3521
882762694511734784,26337,4424
882627270321602560,26094,5501
882268110199369728,41786,10479
882045870035918850,27333,4418
881906580714921986,22697,3079
881666595344535552,47245,9657
881633300179243008,117,7
881536004380872706,46117,14470
881268444196462592,21668,4783
880935762899988482,15955,2533
880872448815771648,19850,3469
880465832366813184,26542,5629
880221127280381952,25147,3779
880095782870896641,25762,3930
879862464715927552,20864,3165
879674319642796034,295,10
879492040517615616,21914,2896
879415818425184262,98656,40296
879376492567855104,15694,2836
879130579576475649,0,6168
879050749262655488,21037,4266
879008229531029506,17743,2429
878776093423087618,18095,3709
878604707211726852,28121,6429
878404777348136964,0,1167
878316110768087041,0,6033
878281511006478336,7218,1167
878057613040115712,39285,6168
877736472329191424,74023,17212
877611172832227328,0,73
877556246731214848,21188,3456
877316821321428993,25598,4732
877201837425926144,25314,5065
876838120628539392,19333,3031
876537666061221889,22132,4269
876484053909872640,17553,2152
876120275196170240,26157,4245
